"Measure","Time","Ethnicity","Ethnicity type","Role type","Broad grade","Grade","Entry level","Value","Headcount"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","NA","316"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","89.2","7768"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Non-medical staff","Senior Roles","Band 8d","Graduate","NA","4509"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Non-medical staff","Senior Roles","Band 8d","Graduate","4.1","175"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Non-medical staff","Senior Roles","Band 8d","Graduate","2.4","104"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Non-medical staff","Senior Roles","Band 8d","Graduate","0.5","20"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Non-medical staff","Senior Roles","Band 8d","Graduate","1.2","51"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Non-medical staff","Senior Roles","Band 8d","Graduate","0.2","10"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Non-medical staff","Senior Roles","Band 8d","Graduate","NA","197"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Non-medical staff","Senior Roles","Band 8d","Graduate","91.7","3952"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Non-medical staff","Senior Roles","Band 9","Graduate","NA","1872"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Non-medical staff","Senior Roles","Band 9","Graduate","4.1","73"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Non-medical staff","Senior Roles","Band 9","Graduate","2.5","44"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Non-medical staff","Senior Roles","Band 9","Graduate","0.6","10"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Non-medical staff","Senior Roles","Band 9","Graduate","1.2","22"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Non-medical staff","Senior Roles","Band 9","Graduate","0.5","9"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Non-medical staff","Senior Roles","Band 9","Graduate","NA","103"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Non-medical staff","Senior Roles","Band 9","Graduate","91.1","1611"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Non-medical staff","Other grades","Non AfC Grade","Unspecified","NA","12736"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Non-medical staff","Other grades","Non AfC Grade","Unspecified","7.9","806"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Non-medical staff","Other grades","Non AfC Grade","Unspecified","5.2","532"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Non-medical staff","Other grades","Non AfC Grade","Unspecified","0.2","19"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Non-medical staff","Other grades","Non AfC Grade","Unspecified","2.2","230"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Non-medical staff","Other grades","Non AfC Grade","Unspecified","1","103"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Non-medical staff","Other grades","Non AfC Grade","Unspecified","NA","2509"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Non-medical staff","Other grades","Non AfC Grade","Unspecified","83.5","8537"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Non-medical staff","Very Senior Manager","Very Senior Manager","Graduate","NA","2246"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Non-medical staff","Very Senior Manager","Very Senior Manager","Graduate","4.4","91"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Non-medical staff","Very Senior Manager","Very Senior Manager","Graduate","1.3","28"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Non-medical staff","Very Senior Manager","Very Senior Manager","Graduate","0","1"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Non-medical staff","Very Senior Manager","Very Senior Manager","Graduate","1.1","22"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Non-medical staff","Very Senior Manager","Very Senior Manager","Graduate","0.5","11"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Non-medical staff","Very Senior Manager","Very Senior Manager","Graduate","NA","171"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Non-medical staff","Very Senior Manager","Very Senior Manager","Graduate","92.6","1922"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","All","ONS 6+1","All staff groups","All grades","All grades","All","NA","1238061"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Asian","ONS 6+1","All staff groups","All grades","All grades","All","10","118396"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Black","ONS 6+1","All staff groups","All grades","All grades","All","6.1","72321"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Chinese","ONS 6+1","All staff groups","All grades","All grades","All","0.6","6536"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Mixed","ONS 6+1","All staff groups","All grades","All grades","All","1.7","20607"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Other","ONS 6+1","All staff groups","All grades","All grades","All","2.3","27169"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Unknown","ONS 6+1","All staff groups","All grades","All grades","All","NA","58488"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","White","ONS 6+1","All staff groups","All grades","All grades","All","79.2","934544"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","All","ONS 6+1","Medical staff","All grades","All grades","All","NA","119597"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Asian","ONS 6+1","Medical staff","All grades","All grades","All","29.7","32308"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Black","ONS 6+1","Medical staff","All grades","All grades","All","4.6","5045"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Chinese","ONS 6+1","Medical staff","All grades","All grades","All","2.5","2757"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Mixed","ONS 6+1","Medical staff","All grades","All grades","All","3.2","3468"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Other","ONS 6+1","Medical staff","All grades","All grades","All","4.3","4698"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Unknown","ONS 6+1","Medical staff","All grades","All grades","All","NA","10921"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","White","ONS 6+1","Medical staff","All grades","All grades","All","55.6","60400"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","All","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","NA","2148"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Asian","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","40.6","818"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Black","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","5.2","104"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Chinese","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","0.8","16"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Mixed","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","2.9","59"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Other","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","9.1","183"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Unknown","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","NA","131"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","White","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","41.5","837"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","All","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","NA","51043"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Asian","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","28.6","13704"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Black","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","2.9","1405"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Chinese","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","2.1","985"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Mixed","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","2.3","1092"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Other","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","3.5","1664"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Unknown","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","NA","3102"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","White","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","60.7","29091"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","All","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","NA","11975"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Asian","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","30.2","3182"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Black","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","7.2","759"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Chinese","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","3.2","333"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Mixed","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","4.2","439"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Other","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","5.1","537"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Unknown","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","NA","1451"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","White","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","50.1","5274"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","All","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","NA","6299"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Asian","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","26","1420"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Black","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","4.4","238"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Chinese","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","3.7","204"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Mixed","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","4.3","233"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Other","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","3.1","167"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Unknown","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","NA","843"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","White","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","58.5","3194"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","All","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","NA","5541"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Asian","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","25.8","1249"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Black","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","4.6","221"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Chinese","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","3.7","178"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Mixed","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","4","195"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Other","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","4","194"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Unknown","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","NA","706"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","White","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","57.9","2798"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","All","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","NA","1774"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Asian","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","18.5","281"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Black","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","1.6","24"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Chinese","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","0.7","10"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Mixed","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","1.5","23"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Other","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","2","30"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Unknown","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","NA","253"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","White","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","75.8","1153"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","All","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","NA","1440"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Asian","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","24.4","308"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Black","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","2.5","32"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Chinese","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","1.6","20"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Mixed","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","3","38"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Other","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","2","25"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","Unknown","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","NA","177"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","White","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","66.5","840"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2019","All","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","NA","8203"
